a,b,c
1033,0.0089,0.9911
1034,0.0096,0.9904
1035,0.0101,0.9899
1036,0.0111,0.9889
1037,0.0119,0.9881
1038,0.0121,0.9879
1039,0.0128,0.9872
1040,0.0134,0.9866
1041,0.0133,0.9867
1042,0.0139,0.9861
1043,0.0140,0.9860
1044,0.0141,0.9859
1045,0.0145,0.9855
1046,0.0149,0.9851
1047,0.0153,0.9847
1048,0.0157,0.9843
1049,0.0164,0.9836
1050,0.0163,0.9837
1051,0.0168,0.9832
1052,0.0174,0.9826
1053,0.0174,0.9826
1054,0.0176,0.9824
1055,0.0176,0.9824
1056,0.0179,0.9821
1057,0.0177,0.9823
1058,0.0184,0.9816
1059,0.0185,0.9815
1060,0.0182,0.9818
1061,0.0186,0.9814
1062,0.0189,0.9811
1063,0.0188,0.9812
1064,0.0182,0.9818
1065,0.0186,0.9814
1066,0.0180,0.9820
1067,0.0178,0.9822
1068,0.0176,0.9824
1069,0.0174,0.9826
1070,0.0166,0.9834
1071,0.0164,0.9836
1072,0.0165,0.9835
1073,0.0166,0.9834
1074,0.0167,0.9833
1075,0.0165,0.9835
1076,0.0162,0.9838
1077,0.0158,0.9842
1078,0.0158,0.9842
1079,0.0154,0.9846
1080,0.0151,0.9849
1081,0.0141,0.9859
1082,0.0133,0.9867
1083,0.0130,0.9870
1084,0.0127,0.9873
1085,0.0122,0.9878
1086,0.0118,0.9882
1087,0.0110,0.9890
1088,0.0104,0.9896
1089,0.0104,0.9896
1090,0.0105,0.9895
1091,0.0099,0.9901
1092,0.0095,0.9905
1093,0.0090,0.9910
1094,0.0091,0.9909
1095,0.0095,0.9905
1096,0.0095,0.9905
1097,0.0093,0.9907
1098,0.0090,0.9910
1099,0.0092,0.9908
1100,0.0091,0.9909
