a,b
0.3559800,1.8680058E+002
0.3559900,1.8679532E+002
0.3560000,1.8679005E+002
0.3560100,1.8678479E+002
0.3560200,1.8677953E+002
0.3560300,1.8677426E+002
0.3560400,1.8676900E+002
0.3560500,1.8676374E+002
0.3560600,1.4655115E+003
0.3560700,1.8675322E+002
0.3560800,6.9075997E+002
0.3560900,1.8674269E+002
0.3561000,1.8673743E+002
0.3561100,1.2901142E+003
0.3561200,1.8672691E+002
0.3561300,9.5135367E+002
0.3561400,1.8671639E+002
0.3561500,7.0593214E+002
0.3561600,1.8670587E+002
0.3561700,1.8670061E+002
0.3561800,1.8669535E+002
0.3561900,1.8669010E+002
0.3562000,1.8668484E+002
0.3562100,1.8667958E+002
0.3562200,1.8667432E+002
0.3562300,1.8666906E+002
0.3562400,1.8666381E+002
0.3562500,1.8665855E+002
0.3562600,1.8665329E+002
0.3562700,1.8664804E+002
0.3562800,1.8664278E+002
0.3562900,1.8663753E+002
0.3563000,1.8663227E+002
0.3563100,6.6464803E+002
0.3563200,1.8662176E+002
0.3563300,1.8661651E+002
0.3563400,1.8661125E+002
0.3563500,1.8660600E+002
0.3563600,1.8660075E+002
0.3563700,1.8659549E+002
0.3563800,1.8659024E+002
0.3563900,3.5133711E+003
0.3564000,1.8657974E+002
0.3564100,1.8657448E+002
0.3564200,1.5144543E+003
0.3564300,1.8656398E+002
0.3564400,1.8655873E+002
0.3564500,9.0025650E+002
0.3564600,1.8654823E+002
0.3564700,1.8654298E+002
0.3564800,1.8653773E+002
0.3564900,1.8653248E+002
0.3565000,1.8652723E+002
0.3565100,1.8652198E+002
0.3565200,1.8651673E+002
0.3565300,1.8651148E+002
0.3565400,1.8650623E+002
0.3565500,1.8650098E+002
0.3565600,1.8649574E+002
0.3565700,1.8649049E+002
0.3565800,1.8648524E+002
0.3565900,1.8647999E+002
0.3566000,1.8647475E+002
0.3566100,1.8646950E+002
0.3566200,1.8646426E+002
0.3566300,1.8645901E+002
0.3566400,1.8645376E+002
0.3566500,7.8697953E+002
0.3566600,1.8644327E+002
0.3566700,1.8643803E+002
0.3566800,1.8643279E+002
0.3566900,1.8642754E+002
0.3567000,1.8642230E+002
0.3567100,1.8641705E+002
0.3567200,1.8641181E+002
0.3567300,1.8640657E+002
0.3567400,1.8640133E+002
0.3567500,1.8639608E+002
0.3567600,1.8639084E+002
0.3567700,1.8638560E+002
0.3567800,1.1930014E+003
0.3567900,5.7129113E+002
0.3568000,1.8636988E+002
0.3568100,1.8636464E+002
0.3568200,1.8635939E+002
0.3568300,1.0199882E+003
0.3568400,1.8634892E+002
0.3568500,1.8634368E+002
0.3568600,1.8633844E+002
0.3568700,1.8633320E+002
0.3568800,1.8632796E+002
0.3568900,1.8632272E+002
0.3569000,1.8631748E+002
0.3569100,1.8631224E+002
0.3569200,1.8630701E+002
0.3569300,1.8630177E+002
0.3569400,1.8629653E+002
0.3569500,1.8629130E+002
0.3569600,1.8628606E+002
0.3569700,1.8628082E+002
0.3569800,1.8627559E+002
0.3569900,1.8627035E+002
0.3570000,1.8626512E+002
0.3570100,1.8625988E+002
0.3570200,1.8625465E+002
0.3570300,1.8624941E+002
0.3570400,1.8624418E+002
0.3570500,1.8623895E+002
0.3570600,1.8623371E+002
0.3570700,1.8622848E+002
0.3570800,1.8622325E+002
0.3570900,1.8621801E+002
0.3571000,1.8621278E+002
0.3571100,1.8620755E+002
0.3571200,1.8620232E+002
0.3571300,1.8619709E+002
0.3571400,1.8619186E+002
0.3571500,1.8618663E+002
0.3571600,1.8618139E+002
0.3571700,1.8617616E+002
0.3571800,1.8617093E+002
0.3571900,1.8616571E+002
0.3572000,1.8616048E+002
0.3572100,1.8615525E+002
0.3572200,1.8615002E+002
0.3572300,1.8614479E+002
0.3572400,1.8613956E+002
0.3572500,1.8613433E+002
0.3572600,1.8612911E+002
0.3572700,1.8612388E+002
0.3572800,1.8611865E+002
0.3572900,1.8611342E+002
0.3573000,1.8610820E+002
